Account Number,Password,Balance,Account Type,Overdraft Limit
1,$2y$12$vXRfIRcsEiDuzgrkdNB3rOcXDxvDCaNq2OgSDrVwlMcgijxNj3rBu,658,normal,0
2,$2y$12$6d/3nuGVlq73lW4KY99oWOLiV0Rxvc7.0I.N.3Imxt8o99yaPaZFS,3000,normal,0
3,$2y$12$es.IukrT2.QAfuOREgkjfeMsacqMoJb2M0rVjm66U.jB/XBRe9BKS,6864,overdraft,200
4,$2y$12$6YJ7sM1hIiIN84p.X28O/eZRcqybKghI3SQejwehINtm7bm6Krwam,398,limited,0
5,$2y$12$Hg3Uw.l8qNSoARLQuneyie1aLbf/vXixoNXaGqjl1Vv4LLG9MJ/w6,0,normal,0
6,$2y$12$f.cZJPp8yc/8TbzOJDs5W.wPBpIhNzJER2xtp9epLTLsL/K6iehOe,0,normal,0
7,$2y$12$yhwzExjomD1ACelYWF5wOeTKZOtmpRKRgHpiYWT6q0sphSZLtUUom,0,normal,0
8,$2y$12$xKTqbmg5B1uIZyu4slRo7OrECWmYhOoWZzZ6CWTPmWoLeHHL59csC,0,normal,0
9,$2y$12$/IrHDMhtAswYg1GpJAjcW.Rz1sbnCIY1ZPvEtFNx5l5FkmGpQ8obi,0,normal,0
10,$2y$12$6d/3nuGVlq73lW4KY99oWOLiV0Rxvc7.0I.N.3Imxt8o99yaPaZFS,0,normal,0
